"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1986","1986","ISK","Iceland Krona","6","Millions",,,73040.2,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1987","1987","ISK","Iceland Krona","6","Millions",,,107884.903,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1988","1988","ISK","Iceland Krona","6","Millions",,,133648.124,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1989","1989","ISK","Iceland Krona","6","Millions",,,150593.171,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1990","1990","ISK","Iceland Krona","6","Millions",,,171806.818,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1991","1991","ISK","Iceland Krona","6","Millions",,,196942.484,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1992","1992","ISK","Iceland Krona","6","Millions",,,199445.221,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1993","1993","ISK","Iceland Krona","6","Millions",,,198569.191,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1994","1994","ISK","Iceland Krona","6","Millions",,,206388.166,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1995","1995","ISK","Iceland Krona","6","Millions",,,225011.428,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1996","1996","ISK","Iceland Krona","6","Millions",,,248636.632,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1997","1997","ISK","Iceland Krona","6","Millions",,,260110.548,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1998","1998","ISK","Iceland Krona","6","Millions",,,301228.22,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1999","1999","ISK","Iceland Krona","6","Millions",,,338388.726,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2000","2000","ISK","Iceland Krona","6","Millions",,,374845.048,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2001","2001","ISK","Iceland Krona","6","Millions",,,415013.386,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2002","2002","ISK","Iceland Krona","6","Millions",,,444576.458,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2003","2003","ISK","Iceland Krona","6","Millions",,,470946.625,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2004","2004","ISK","Iceland Krona","6","Millions",,,515455.829,,
"ISL","Iceland","D1","Compensation of employees","C","Current prices","2005","2005","ISK","Iceland Krona","6","Millions",,,579255.859,,
