"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1996","200","Canadian dollar","1993","Western calendar year","39980000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1996","100","Canadian dollar                         ","1993","Western calendar year","39980000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1995","1000","Canadian dollar","2008","Western calendar year","102466000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1995","200","Canadian dollar","1993","Western calendar year","105199000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1995","100","Canadian dollar                         ","1993","Western calendar year","105199000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1995","1000","Canadian dollar","2008","Western calendar year","40489000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1995","200","Canadian dollar","1993","Western calendar year","40489000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1995","100","Canadian dollar                         ","1993","Western calendar year","40489000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1994","1000","Canadian dollar","2008","Western calendar year","100352000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1994","200","Canadian dollar","1993","Western calendar year","101050000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1994","100","Canadian dollar                         ","1993","Western calendar year","101050000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1994","1000","Canadian dollar","2008","Western calendar year","38938000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1994","200","Canadian dollar","1993","Western calendar year","38938000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1994","100","Canadian dollar                         ","1993","Western calendar year","38938000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1993","1000","Canadian dollar","2008","Western calendar year","96452000000",""
